,X,Petri.Dish,Date_Moved_1,Total_Transplant_1,Hypocotyl_1,GA3,notes,Date_Moved_2,Total_Transplant_2,Hypocotyl_2,Date_Moved_3,Total_Transplant_3,Hypocotyl_3,mortality
35,403,c|CBMCK1-3-60|N,19-03-05,3,3,,31 is dead.,NA,NA,NA,,NA,NA,3
36,404,d|CBMCK1-3-60|N,19-03-05,7,6,,,NA,NA,NA,,NA,NA,3
37,405,e|CBMCK1-3-60|N,19-03-05,1,1,,,19-04-02,1,1,19-04-13,2,0,3
38,461,e|CRSOSO-3-40|Q,19-03-05,2,1,,,19-03-28,3,0,,NA,NA,NA
39,462,a|CRSOSO-3-40|Q,19-03-05,2,1,,no radical for length 22?,19-03-26,3,3,,NA,NA,NA
40,463,d|CRSOSO-3-40|Q,19-03-08,1,1,,,19-03-28,6,3,19-04-13,3,2,1
41,464,b|CRSOSO-3-40|Q,19-03-08,3,2,,,19-03-28,7,1,,NA,NA,NA
42,562,a|CWRIC2-X2|Q,19-04-26,6,6,y,NA,NA,NA,NA,,NA,NA,NA
43,563,b|CWRIC2-X2|Q,19-04-17,5,3,,NA,NA,NA,NA,,NA,NA,NA
44,564,c|CWRIC2-X2|Q,19-04-18,4,2,y,NA,19-04-26,2,2,,NA,NA,NA
45,221,d|CWRIC2-X2|Q,19-03-06,1,1,,NA,19-03-28,8,8,,NA,NA,4
46,222,e|CWRIC2-X2|Q,19-04-03,1,1,,NA,NA,NA,NA,,NA,NA,NA
47,224,a|DFKON1-4-0|V,19-03-11,1,1,,fungal infection?,NA,NA,NA,,NA,NA,1
48,326,c|DSGAR1-3-60|V,19-03-08,1,1,,,19-03-28,1,1,,NA,NA,NA
49,327,d|DSGAR1-3-60|V,19-04-03,1,1,,,NA,NA,NA,,NA,NA,1
50,478,a|DVGM-20|Q,19-03-28,5,5,,14 -2 is dead,19-03-11,5,3,,NA,NA,1
51,479,b|DVGM-20|Q,19-03-11,4,3,,Radical much longer than hypocotyl for DVGM,19-03-28,3,3,,NA,NA,3
52,480,c|DVGM-20|Q,19-04-01,5,1,,open germination,NA,NA,NA,,NA,NA,NA
53,481,d|DVGM-20|Q,19-03-08,3,2,,Radical much longer than hypocotyl for DVGM,19-03-26,4,4,,NA,NA,NA
54,578,e|DVGM-20|Q,19-03-11,5,4,,Radical much longer than hypocotyl for DVGM,19-03-28,3,3,,NA,NA,2
55,383,a|EFCC2-2-40|Q,19-04-25,1,1,y,NA,NA,NA,NA,,NA,NA,NA
56,384,b|EFCC2-2-40|Q,19-04-18,2,2,y,NA,NA,NA,NA,,NA,NA,NA
57,385,c|EFCC2-2-40|Q,19-04-18,2,2,y,NA,NA,NA,NA,,NA,NA,NA
58,386,d|EFCC2-2-40|Q,19-04-18,3,3,y,NA,NA,NA,NA,,NA,NA,NA
59,387,e|EFCC2-2-40|Q,19-04-15,5,3,y,NA,19-04-25,NA,NA,,NA,NA,NA
60,228,a|EFCC2-4-80|Q,19-04-25,5,2,y,NA,NA,NA,NA,,NA,NA,NA
61,229,b|EFCC2-4-80|Q,19-03-11,4,2,,NA,19-04-01,4,0,19-04-10,2,0,2
62,230,c|EFCC2-4-80|Q,19-04-09,5,2,y,NA,19-04-16,3,1,,NA,NA,1
63,246,d|EFCC2-4-80|Q,19-04-16,4,4,,NA,NA,NA,NA,,NA,NA,NA
64,247,e|EFCC2-4-80|Q,19-04-16,1,1,,NA,NA,NA,NA,,NA,NA,NA
65,263,a|JARI1-1-80|Q,19-04-18,6,1,y,NA,NA,NA,NA,,NA,NA,NA
66,264,b|JARI1-1-80|Q,19-04-24,9,9,y,NA,NA,NA,NA,,NA,NA,
67,265,c|JARI1-1-80|Q,19-04-24,5,5,y,NA,NA,NA,NA,,NA,NA,NA
68,291,d|JARI1-1-80|Q,19-04-23,7,5,y,NA,NA,NA,NA,,NA,NA,NA
69,292,e|JARI1-1-80|Q,19-04-24,8,8,y,NA,NA,NA,NA,,NA,NA,1
70,293,a|JARI1-2-60|Q,19-03-08,1,1,,,19-03-26,8,8,,NA,NA,1
71,294,b|JARI1-2-60|Q,19-04-01,6,2,,open germination,NA,NA,NA,,NA,NA,NA
72,295,c|JARI1-2-60|Q,19-04-18,6,6,y,,NA,NA,NA,,NA,NA,NA
73,36,d|JARI1-2-60|Q,19-03-08,4,4,,,19-03-28,4,2,,NA,NA,NA
74,37,e|JARI1-2-60|Q,19-03-08,6.5,6.5,,,19-03-26,6,6,,NA,NA,NA
75,266,a|JBBLB2-1-20|Q,19-04-04,8,1,y,NA,NA,NA,NA,,NA,NA,NA
76,267,b|JBBLB2-1-20|Q,19-04-04,7,2,y,NA,NA,NA,NA,,NA,NA,NA
77,268,c|JBBLB2-1-20|Q,19-04-10,5,4,y,NA,NA,NA,NA,,NA,NA,1
78,269,d|JBBLB2-1-20|Q,19-04-26,6,4,y,NA,NA,NA,NA,,NA,NA,1
79,270,e|JBBLB2-1-20|Q,19-04-04,5,2,y,NA,19-04-16,2,1,,NA,NA,NA
80,493,b|JBCHY1-1-50|Q,19-04-10,5,3,y,NA,19-04-24,2,2,,NA,NA,1
81,494,c|JBCHY1-1-50|Q,19-04-25,5,2,y,NA,19-05-07,2,2,,NA,NA,NA
82,41,d|JBCHY1-1-50|Q,19-04-16,3,2,y,NA,19-05-07,1,1,,NA,NA,NA
83,43,e|JBCHY1-1-50|Q,19-03-07,1,1,,,19-04-13,3,3,,NA,NA,NA
84,44,f|JBCHY1-1-50|Q,19-03-07,1,1,,,19-04-01,5,1,,NA,NA,NA
85,48,b|JKFRS1-6-0|V,19-03-06,1,1,,,NA,NA,NA,,NA,NA,NA
86,473,e|JKFRS1-6-0|V,19-03-11,1,1,,,NA,NA,NA,,NA,NA,NA
87,335,a|JWBOY-2-80|Q,19-04-03,2,NA,,,NA,NA,NA,,NA,NA,NA
88,502,c|JWBOY-2-80|Q,19-04-18,2,2,,,NA,NA,NA,,NA,NA,NA
89,271,d|JWBOY-2-80|Q,19-03-06,1,1,,,19-03-26,6,6,19-04-02,2,0,NA
90,272,e|JWBOY-2-80|Q,19-03-06,3,3,,,19-03-26,6,6,,NA,NA,NA
91,275,a|JWBOY1-1-5|Q,19-04-25,1,1,,NA,NA,NA,NA,,NA,NA,NA
92,276,b|JWBOY1-1-5|Q,19-04-24,8,8,y,NA,19-05-07,1,1,,NA,NA,NA
93,277,c|JWBOY1-1-5|Q,19-04-01,4,4,,open germination,NA,NA,NA,,NA,NA,NA
94,278,d|JWBOY1-1-5|Q,19-04-18,2,2,,NA,NA,NA,NA,,NA,NA,NA
95,280,e|JWBOY1-1-5|Q,19-03-11,1,1,,,19-03-28,4,4,,NA,NA,NA
96,496,a|KVEDG1-1-80|Q,19-04-03,6,5,,NA,NA,NA,NA,,NA,NA,NA
97,51,b|KVEDG1-1-80|Q,19-04-15,7,4,y,NA,NA,NA,NA,,NA,NA,NA
98,52,c|KVEDG1-1-80|Q,19-04-16,9,8,y,NA,NA,NA,NA,,NA,NA,NA
99,53,d|KVEDG1-1-80|Q,19-03-11,1,1,,,19-04-01,4,0,,NA,NA,NA
100,54,e|KVEDG1-1-80|Q,19-04-18,5,0,y,NA,NA,NA,NA,,NA,NA,NA
101,55,a|KVEDG1-10-0|Q,19-04-01,2,1,,NA,NA,NA,NA,,NA,NA,NA
102,486,b|KVEDG1-10-0|Q,19-04-10,6,3,y,NA,NA,NA,NA,,NA,NA,NA
103,586,c|KVEDG1-10-0|Q,19-04-09,9,1,y,NA,NA,NA,NA,,NA,NA,2
104,56,d|KVEDG1-10-0|Q,19-04-18,5,2,y,NA,NA,NA,NA,,NA,NA,NA
105,57,e|KVEDG1-10-0|Q,19-04-18,8,4,y,NA,NA,NA,NA,,NA,NA,NA
106,58,a|KVEDG1-8-60|Q,19-04-03,1,1,,NA,NA,NA,NA,,NA,NA,NA
107,59,b|KVEDG1-8-60|Q,19-03-05,1,1,,NA,19-03-28,9,3,,NA,NA,1
108,60,c|KVEDG1-8-60|Q,19-04-17,4,2,y,NA,NA,NA,NA,,NA,NA,NA
109,61,d|KVEDG1-8-60|Q,19-03-05,1,1,,NA,19-03-28,6,2,,NA,NA,NA
110,62,e|KVEDG1-8-60|Q,19-03-05,1,0,,NA,19-04-02,3,0,19-03-26,4,4,NA
111,467,a|KVEDG2-5-80|Q,19-04-09,3,1,y,NA,NA,NA,NA,,NA,NA,NA
112,565,b|KVEDG2-5-80|Q,19-04-03,2,1,,NA,19-04-16,2,2,,NA,NA,NA
113,567,d|KVEDG2-5-80|Q,19-04-01,1,1,,NA,19-04-10,3,3,,NA,NA,NA
114,441,e|KVEDG2-5-80|Q,19-04-01,8,5,,NA,19-04-17,3,3,,NA,NA,NA
115,442,a|KVEDG2X9|N,19-03-08,8,7,,,NA,NA,NA,,NA,NA,6
116,443,b|KVEDG2X9|N,19-03-08,7,4,,,19-03-28,1,1,,NA,NA,2
117,444,c|KVEDG2X9|N,19-03-08,5,3,,,19-03-28,2,2,,NA,NA,2
118,445,d|KVEDG2X9|N,19-03-08,7,7,,,NA,NA,NA,,NA,NA,3
119,346,e|KVEDG2X9|N,19-03-08,7,4,,,19-03-28,1,1,,NA,NA,NA
120,449,a|LGESC1-3-60|V,19-04-01,1,1,,,NA,NA,NA,,NA,NA,NA
121,450,b|LGESC1-3-60|V,19-03-05,1,1,,,NA,NA,NA,,NA,NA,1
122,557,d|LGESC1-3-60|V,19-03-05,1,1,,,NA,NA,NA,,NA,NA,NA
123,485,a|MAVBEL2-1-20|N,19-03-06,6,5,,,19-03-28,2,2,,NA,NA,2
124,585,b|MAVBEL2-1-20|N,19-03-08,4,4,,,19-03-28,3,3,,NA,NA,NA
125,361,c|MAVBEL2-1-20|N,19-03-08,3,3,,,19-03-28,1,1,,NA,NA,1
126,362,d|MAVBEL2-1-20|N,19-03-06,7,7,,,19-04-02,2,2,,NA,NA,1
127,363,e|MAVBEL2-1-20|N,19-03-06,3,3,,,19-03-28,3,2,,NA,NA,NA
128,344,a|MAVELK-1-20|N,19-03-04,6,6,,,NA,NA,NA,,NA,NA,3
129,345,b|MAVELK-1-20|N,19-03-05,1,1,,,NA,NA,NA,,NA,NA,NA
130,507,c|MAVELK-1-20|N,19-03-05,2,2,,30 is dead.,NA,NA,NA,,NA,NA,NA
131,508,d|MAVELK-1-20|N,19-03-05,3,3,,94 is dead,NA,NA,NA,,NA,NA,2
132,371,e|MAVELK-1-20|N,19-03-05,3,3,,,NA,NA,NA,,NA,NA,2
133,511,b|MBSGF1-X1|N,19-04-26,2,2,,,NA,NA,NA,,NA,NA,NA
134,513,d|MBSGF1-X1|N,19-04-17,2,2,,has a tiny 1.,NA,NA,NA,,NA,NA,NA
135,377,a|MHBUR1-4-20|Q,19-04-04,2,0,,NA,19-04-13,5,5,,NA,NA,NA
136,378,b|MHBUR1-4-20|Q,19-04-16,8,7,y,NA,NA,NA,NA,,NA,NA,NA
137,380,d|MHBUR1-4-20|Q,19-04-17,6,2,y,NA,19-05-07,1,1,,NA,NA,NA
138,517,a|MHBUR1-4-40|Q,19-04-25,1,1,,NA,NA,NA,NA,,NA,NA,1
139,518,b|MHBUR1-4-40|Q,19-04-18,2,1,y,NA,19-04-26,4,4,,NA,NA,1
140,456,c|MHBUR1-4-40|Q,19-04-23,9,4,y,NA,NA,NA,NA,,NA,NA,NA
141,457,d|MHBUR1-4-40|Q,19-04-03,1,1,,NA,19-04-17,3,3,,NA,NA,NA
142,458,e|MHBUR1-4-40|Q,19-04-15,3,3,,NA,NA,NA,NA,,NA,NA,NA
143,460,b|MHNAT1-2-0|Q,19-04-18,5,5,y,NA,NA,NA,NA,,NA,NA,1
144,76,c|MHNAT1-2-0|Q,19-04-24,1,1,y,NA,NA,NA,NA,,NA,NA,NA
145,77,d|MHNAT1-2-0|Q,19-04-17,2,2,y,NA,NA,NA,NA,,NA,NA,NA
146,78,e|MHNAT1-2-0|Q,19-04-10,3,3,,NA,NA,NA,NA,,NA,NA,NA
147,87,a|MSMID1-1-20|Q,19-04-16,8,6,,NA,NA,NA,NA,,NA,NA,NA
148,88,b|MSMID1-1-20|Q,19-04-23,6,6,y,NA,NA,NA,NA,,NA,NA,NA
149,89,c|MSMID1-1-20|Q,19-04-23,8,8,y,NA,NA,NA,NA,,NA,NA,NA
150,90,d|MSMID1-1-20|Q,19-04-23,10,9,y,NA,NA,NA,NA,,NA,NA,NA
151,297,a|MSMID1-2-0|Q,19-04-15,9,8,,NA,NA,NA,NA,,NA,NA,NA
152,298,b|MSMID1-2-0|Q,19-04-24,7,3,y,NA,NA,NA,NA,,NA,NA,NA
153,299,c|MSMID1-2-0|Q,19-04-24,6,6,y,NA,NA,NA,NA,,NA,NA,NA
154,300,d|MSMID1-2-0|Q,19-04-24,7,7,y,NA,NA,NA,NA,,NA,NA,NA
155,451,e|MSMID1-2-0|Q,19-04-24,NA,NA,y,NA,NA,NA,NA,,NA,NA,NA
156,452,a|MSMID1-2-80|Q,19-04-16,5,5,,NA,NA,NA,NA,,NA,NA,NA
157,453,b|MSMID1-2-80|Q,19-04-26,5,5,y,NA,NA,NA,NA,,NA,NA,2
158,454,c|MSMID1-2-80|Q,19-04-23,6,5,y,NA,NA,NA,NA,,NA,NA,NA
159,91,e|MSMID1-2-80|Q,19-04-26,NA,NA,,NA,NA,NA,NA,,NA,NA,NA
160,92,a|MSMID1-3-60|Q,19-04-15,3,2,,NA,19-04-26,2,2,,NA,NA,NA
161,93,b|MSMID1-3-60|Q,19-04-13,9,7,y,NA,NA,NA,NA,,NA,NA,NA
162,95,d|MSMID1-3-60|Q,19-04-26,5,1,y,NA,NA,NA,NA,,NA,NA,NA
163,96,e|MSMID1-3-60|Q,19-04-25,4,2,y,NA,NA,NA,NA,,NA,NA,NA
164,97,a|MSMID2-2-20|Q,19-04-26,7,2,y,NA,NA,NA,NA,,NA,NA,1
165,98,b|MSMID2-2-20|Q,19-04-26,5,3,y,NA,NA,NA,NA,,NA,NA,2
166,101,e|MSMID2-2-20|Q,19-04-26,5,1,y,NA,NA,NA,NA,,NA,NA,1
167,102,a|MSMID2-5-40|Q,19-04-24,7,4,y,NA,NA,NA,NA,,NA,NA,NA
168,103,b|MSMID2-5-40|Q,19-04-18,2,2,,NA,NA,NA,NA,,NA,NA,NA
169,104,c|MSMID2-5-40|Q,19-04-16,5,2,y,NA,NA,NA,NA,,NA,NA,NA
170,105,d|MSMID2-5-40|Q,19-04-17,4,4,,NA,NA,NA,NA,,NA,NA,NA
171,107,a|MSMID2-5-80|Q,19-04-17,8,2,y,NA,NA,NA,NA,,NA,NA,NA
172,108,b|MSMID2-5-80|Q,19-04-16,5,1,y,2 tiny seedlings that are likely not GM. I moved them anyways. Dont seem to come from a GM seed.,NA,NA,NA,,NA,NA,NA
173,109,c|MSMID2-5-80|Q,19-04-04,1,1,,NA,19-04-26,1,1,,NA,NA,NA
174,110,d|MSMID2-5-80|Q,19-04-23,8,8,y,NA,NA,NA,NA,,NA,NA,NA
175,111,e|MSMID2-5-80|Q,19-04-15,8,7,y,NA,NA,NA,NA,,NA,NA,NA
176,113,b|MSMID2-6-80|Q,19-04-03,1,1,,NA,NA,NA,NA,,NA,NA,NA
177,114,c|MSMID2-6-80|Q,19-04-18,5,1,y,NA,NA,NA,NA,,NA,NA,NA
178,115,d|MSMID2-6-80|Q,19-04-17,6,3,y,#7 is tiny and suspect.,NA,NA,NA,,NA,NA,NA
179,116,e|MSMID2-6-80|Q,19-04-16,4,2,y,NA,NA,NA,NA,,NA,NA,NA
180,117,a|NSLJU1-4-0|V,19-03-06,7,7,,,NA,NA,NA,,NA,NA,4
181,118,b|NSLJU1-4-0|V,19-03-06,1,1,,likely dead,19-04-10,1,0,,NA,NA,1
182,119,c|NSLJU1-4-0|V,19-03-06,2,2,,,NA,NA,NA,,NA,NA,1
183,120,d|NSLJU1-4-0|V,19-03-08,1,1,,,NA,NA,NA,,NA,NA,NA
184,128,c|NSRIB1-2-40|V,19-03-06,2,2,,,NA,NA,NA,,NA,NA,1
185,129,d|NSRIB1-2-40|V,19-04-26,1,1,,,NA,NA,NA,,NA,NA,NA
186,337,a|PDVRT1-20|Q,19-04-13,6,6,,NA,NA,NA,NA,,NA,NA,NA
187,338,b|PDVRT1-20|Q,19-04-01,1,1,,NA,19-04-10,5,3,,NA,NA,1
188,339,c|PDVRT1-20|Q,19-04-01,6,5,,open germination,NA,NA,NA,,NA,NA,NA
189,504,e|PDVRT1-20|Q,19-03-11,4,2,,,19-04-01,2,1,,NA,NA,NA
190,506,a|RULEB1-20|N,19-03-04,6,6,,,NA,NA,NA,,NA,NA,4
191,301,b|RULEB1-20|N,19-03-04,2,2,,,19-03-28,1,1,,NA,NA,1
192,302,c|RULEB1-20|N,19-03-04,4,3,,,19-03-28,1,1,,NA,NA,4
193,303,d|RULEB1-20|N,19-03-04,4,4,,,NA,NA,NA,,NA,NA,3
194,304,e|RULEB1-20|N,19-03-04,6,5,,,NA,NA,NA,,NA,NA,2
195,134,a|SEBRN-1-20|N,19-03-28,1,1,,,19-03-04,4,3,,NA,NA,2
196,135,b|SEBRN-1-20|N,19-03-08,3,3,,14 is likely dead,NA,NA,NA,,NA,NA,3
197,484,c|SEBRN-1-20|N,19-03-06,3,3,,,NA,NA,NA,,NA,NA,2
198,584,d|SEBRN-1-20|N,19-03-08,2,2,,,19-03-28,1,1,,NA,NA,NA
199,421,e|SEBRN-1-20|N,19-03-08,7,7,,97-1 likely dead,NA,NA,NA,,NA,NA,6
200,544,a|SMAKC1-B|N,19-03-05,8,8,,,19-03-28,2,2,,NA,NA,6
201,545,b|SMAKC1-B|N,19-03-07,6,6,,,19-03-28,4,4,,NA,NA,4
202,546,c|SMAKC1-B|N,19-03-07,7,7,,,19-03-28,1,1,,NA,NA,7
203,547,d|SMAKC1-B|N,19-03-08,6,6,,,19-03-26,4,4,,NA,NA,6
204,411,e|SMAKC1-B|N,19-03-08,6,6,,,19-03-28,2,2,,NA,NA,6
205,534,a|SMITH1-1-0|Q,19-04-24,3,2,y,NA,NA,NA,NA,,NA,NA,NA
206,536,c|SMITH1-1-0|Q,19-04-26,2,2,y,NA,NA,NA,NA,,NA,NA,NA
207,416,e|SMITH1-1-0|Q,19-03-08,2,2,,NA,19-03-28,1,1,,NA,NA,NA
208,419,a|SMITH1-1-60|Q,19-04-16,1,1,y,NA,,NA,NA,,NA,NA,NA
209,420,b|SMITH1-1-60|Q,19-04-04,2,NA,y,NA,19-04-16,4,4,,NA,NA,NA
210,538,c|SMITH1-1-60|Q,19-04-17,3,3,y,NA,,NA,NA,,NA,NA,NA
211,540,e|SMITH1-1-60|Q,19-04-13,10,9,,NA,,NA,NA,,NA,NA,NA
212,541,a|SMITH1-1-80|Q,19-03-07,1,1,,NA,19-03-28,4,4,19-04-13,1,1,2
213,542,b|SMITH1-1-80|Q,19-04-16,2,2,,NA,,NA,NA,,NA,NA,NA
214,136,c|SMITH1-1-80|Q,19-03-06,1,1,,likely dead,19-03-28,7,7,,NA,NA,1
215,138,e|SMITH1-1-80|Q,19-03-08,2,2,,NA,19-03-28,5,2,19-04-13,1,1,1
216,143,a|SMITH1-2-40|Q,19-04-18,3,2,,NA,,NA,NA,,NA,NA,NA
217,144,b|SMITH1-2-40|Q,19-04-24,7,7,y,NA,,NA,NA,,NA,NA,NA
218,145,c|SMITH1-2-40|Q,19-04-26,9,8,y,NA,,NA,NA,,NA,NA,1
219,146,d|SMITH1-2-40|Q,19-04-26,1,1,,NA,,NA,NA,,NA,NA,1
220,147,e|SMITH1-2-40|Q,19-04-26,5,4,y,NA,,NA,NA,,NA,NA,1
221,150,c|SMITH1-2-80|Q,19-04-18,8,6,y,NA,,NA,NA,,NA,NA,NA
222,469,d|SMITH1-2-80|Q,19-04-18,7,3,y,NA,,NA,NA,,NA,NA,NA
223,472,a|SMITH1-20|Q,19-04-15,10,5,,NA,,NA,NA,,NA,NA,NA
224,569,b|SMITH1-20|Q,19-04-01,8,2,,open germination,,NA,NA,,NA,NA,
225,571,c|SMITH1-20|Q,19-04-13,5,4,y,NA,,NA,NA,,NA,NA,NA
226,572,d|SMITH1-20|Q,19-04-13,7,7,y,NA,,NA,NA,,NA,NA,3
227,151,e|SMITH1-20|Q,19-04-13,7,6,y,NA,,NA,NA,,NA,NA,2
228,152,a|SMITH1-3-40|N,19-03-08,5,2,,,,NA,NA,,NA,NA,2
229,153,b|SMITH1-3-40|N,19-03-06,2,1,,,19-03-28,5,4,,NA,NA,1
230,154,c|SMITH1-3-40|N,19-03-22,7,5,,10 is dead,19-04-13,1,1,,NA,NA,1
231,155,d|SMITH1-3-40|N,19-03-11,3,2,,,19-04-02,4,1,,NA,NA,2
232,156,e|SMITH1-3-40|N,19-03-08,5,5,,,19-03-26,3,3,,NA,NA,1
233,162,a|SMITH1-3-40|Q,19-04-26,5,3,y,NA,,NA,NA,,NA,NA,NA
234,163,b|SMITH1-3-40|Q,19-04-26,1,1,,NA,,NA,NA,,NA,NA,NA
235,164,c|SMITH1-3-40|Q,19-04-26,6,5,y,NA,,NA,NA,,NA,NA,NA
236,165,d|SMITH1-3-40|Q,19-04-26,5,2,y,NA,,NA,NA,,NA,NA,NA
237,436,e|SMITH1-3-40|Q,19-04-18,7,4,y,NA,,NA,NA,,NA,NA,NA
238,437,a|SMITH1-3-60|Q,19-04-18,3,3,y,NA,,NA,NA,,NA,NA,NA
239,438,b|SMITH1-3-60|Q,19-04-16,5,3,,NA,,NA,NA,,NA,NA,NA
240,439,c|SMITH1-3-60|Q,19-04-18,2,2,,NA,,NA,NA,,NA,NA,NA
241,440,d|SMITH1-3-60|Q,19-03-08,2,2,,NA,19-03-26,6,6,,NA,NA,NA
242,551,e|SMITH1-3-60|Q,19-04-18,2,2,,NA,,NA,NA,,NA,NA,NA
243,554,a|SMITH1-3-80|N,19-03-28,6,5,,,,NA,NA,,NA,NA,3
244,555,b|SMITH1-3-80|N,19-03-22,6,5,,,19-04-01,2,2,,NA,NA,NA
245,166,c|SMITH1-3-80|N,19-03-26,4,4,,,,NA,NA,,NA,NA,NA
246,167,d|SMITH1-3-80|N,19-03-07,2,1,,,19-03-26,4,4,19-04-02,1,0,1
247,168,e|SMITH1-3-80|N,19-03-07,2,1,,,19-03-26,4,4,19-04-13,1,0,1
248,173,a|SMITH1-3-80|Q,19-04-24,7,7,y,NA,,NA,NA,,NA,NA,NA
249,174,b|SMITH1-3-80|Q,19-03-08,6,6,,NA,,NA,NA,,NA,NA,NA
250,175,c|SMITH1-3-80|Q,19-04-17,7,3,,NA,,NA,NA,,NA,NA,NA
251,577,e|SMITH1-3-80|Q,19-04-18,NA,NA,,NA,,NA,NA,,NA,NA,NA
252,433,a|SMITH1-4-20|Q,19-04-16,8,7,y,NA,,NA,NA,,NA,NA,NA
253,435,c|SMITH1-4-20|Q,19-04-17,6,5,y,NA,,NA,NA,,NA,NA,NA
254,548,d|SMITH1-4-20|Q,19-04-09,6,5,y,NA,,NA,NA,,NA,NA,NA
255,550,a|SMITH1-4-40|Q,19-04-26,3,2,y,NA,,NA,NA,,NA,NA,NA
256,590,b|SMITH1-4-40|Q,19-04-18,2,2,,NA,,NA,NA,,NA,NA,NA
257,177,d|SMITH1-4-40|Q,19-04-24,4,4,y,NA,,NA,NA,,NA,NA,1
258,178,e|SMITH1-4-40|Q,19-04-26,3,3,y,NA,,NA,NA,,NA,NA,NA
259,183,b|SMITH1-4-80|Q,19-04-13,7,7,y,NA,,NA,NA,,NA,NA,6
260,184,c|SMITH1-4-80|Q,19-04-26,5,3,y,NA,,NA,NA,,NA,NA,NA
261,185,d|SMITH1-4-80|Q,19-04-26,5,4,y,NA,,NA,NA,,NA,NA,1
262,186,e|SMITH1-4-80|Q,19-04-26,7,7,y,NA,,NA,NA,,NA,NA,NA
263,187,a|VRCAN-1-40|Q,19-03-06,1,1,,open germination,19-04-01,1,1,,NA,NA,1
264,188,b|VRCAN-1-40|Q,19-04-17,9,3,y,NA,19-05-07,1,1,,NA,NA,NA
